7U Baseball Schedule,,,,
Date,Start Time,Visitor Name,Home Name,Venue Name
"Friday, October 15, 2021",6:30 PM,Sayreville #3,Spotswood #1,Spotswood Front Field
"Sunday, October 17, 2021",2:00 PM,Sayreville #2,Spotswood #3,Spotswood Back Field
"Monday, October 18, 2021",6:30 PM,Sayreville #3,Sayreville #1,Sayreville AA Complex Field #1
"Monday, October 18, 2021",6:30 PM,South Amboy #1,Spotswood #2,Spotswood Front Field
"Wednesday, October 20, 2021",6:30 PM,Spotswood #1,Sayreville #3,Sayreville AA Complex Field #2_
"Wednesday, October 20, 2021",6:30 PM,Spotswood #3,Perth Amboy #1,Youth Complex Field 1 50/70
"Friday, October 22, 2021",6:30 PM,Perth Amboy #1,South Amboy #1,South Amboy
"Friday, October 22, 2021",6:30 PM,Sayreville #1,Spotswood #3,Spotswood Front Field
"Sunday, October 24, 2021",12:00 PM,Spotswood #2,Spotswood #1,Spotswood Back Field
"Sunday, October 24, 2021",12:00 PM,South Amboy #1,Sayreville #2,Sayreville AA Complex Field #1
"Sunday, October 24, 2021",2:00 PM,South Amboy #2,Spotswood #3,Spotswood Back Field
"Tuesday, October 26, 2021",6:30 PM,South Amboy #2,Perth Amboy #1,Youth Complex Field 2
"Wednesday, October 27, 2021",6:30 PM,Spotswood #1,Sayreville #1,Sayreville AA Complex Field #1
"Friday, October 29, 2021",6:30 PM,South Amboy #1,Sayreville #3,Sayreville AA Complex Field #1
"Friday, October 29, 2021",6:30 PM,Spotswood #3,Spotswood #2,Spotswood Front Field
12U Baseball Schedule,,,,
Date,Start Time,Visitor Name,Home Name,Venue Name
"Tuesday, September 14, 2021",6:30 PM,South Amboy #1,Sayreville #1,Sayreville AA Complex Field #1
"Tuesday, September 14, 2021",6:30 PM,Spotswood #1,Perth Amboy #1,Youth Complex Field 1 50/70
"Thursday, September 16, 2021",6:30 PM,Sayreville #1,Perth Amboy #1,Youth Complex Field 1 50/70
"Sunday, September 19, 2021",12:00 PM,Sayreville #1,Spotswood #1,Spotswood Front Field
"Tuesday, September 21, 2021",6:30 PM,Perth Amboy #1,South Amboy #1,South Amboy
"Thursday, September 23, 2021",6:30 PM,Spotswood #1,Perth Amboy #1,Youth Complex Field 1 50/70
"Sunday, September 26, 2021",10:00 AM,Spotswood #1,Perth Amboy #1,Youth Complex Field 1 50/70
"Sunday, September 26, 2021",2:00 PM,South Amboy #1,Sayreville #1,Sayreville AA Complex Field #1
"Tuesday, September 28, 2021",6:30 PM,Perth Amboy #1,Sayreville #1,Sayreville AA Complex Field #1
"Tuesday, September 28, 2021",6:30 PM,Spotswood #1,South Amboy #1,South Amboy
"Sunday, October 03, 2021",10:00 AM,Sayreville #1,Spotswood #1,Spotswood Front Field
"Tuesday, October 05, 2021",6:30 PM,Perth Amboy #1,South Amboy #1,South Amboy
"Thursday, October 07, 2021",6:30 PM,South Amboy #1,Perth Amboy #1,Youth Complex Field 1 50/70
"Sunday, October 10, 2021",2:00 PM,Spotswood #1,Sayreville #1,Sayreville AA Complex Field #1
"Sunday, October 10, 2021",10:00 AM,Perth Amboy #1,South Amboy #1,South Amboy
"Tuesday, October 12, 2021",6:30 PM,South Amboy #1,Spotswood #1,Spotswood Front Field
"Sunday, October 17, 2021",9:45 AM,Perth Amboy #1,Spotswood #1,Spotswood Front Field
"Sunday, October 17, 2021",2:00 PM,South Amboy #1,Sayreville #1,Sayreville AA Complex Field #1
"Tuesday, October 19, 2021",6:30 PM,Sayreville #1,South Amboy #1,South Amboy
"Sunday, October 24, 2021",10:00 AM,Sayreville #1,Perth Amboy #1,Youth Complex Field 1 50/70
"Sunday, October 24, 2021",12:00 PM,Spotswood #1,South Amboy #1,South Amboy
"Tuesday, October 26, 2021",6:30 PM,Perth Amboy #1,Sayreville #1,Sayreville AA Complex Field #1
Babe Ruth Schedule,,,,
Date,Start Time,Visitor Name,Home Name,Venue Name
"Tuesday, September 14, 2021",6:30 PM,South River #1,Sayreville #1,Sayreville Babe Ruth
