8U Softball Schedule,,,,
Date,Start Time,Visitor Name,Home Name,Venue Name
"Saturday, October 23, 2021",4:00 PM,Spotswood #2,Spotswood #1,Spotswood Back Field
"Wednesday, October 27, 2021",6:30 PM,Spotswood #2,South Amboy #1,South Amboy Softball
"Wednesday, October 27, 2021",6:30 PM,Old Bridge #2,Spotswood #1,Spotswood Front Field
"Thursday, October 28, 2021",6:30 PM,Old Bridge #1,Perth Amboy #1,Youth Complex Field 2
"Saturday, October 30, 2021",9:30 AM,Spotswood #2,Old Bridge #2,Cheesequake Road Field B
"Saturday, October 30, 2021",12:00 PM,South Amboy #1,Old Bridge #1,Cheesequake Road Field A
"Saturday, October 30, 2021",12:00 PM,Spotswood #1,Perth Amboy #1,Youth Complex Field 2
12U Softball Schedule,,,,
Date,Start Time,Visitor Name,Home Name,Venue Name
"Tuesday, September 14, 2021",6:30 PM,Old Bridge #2,Spotswood #1,Spotswood Front Field
"Thursday, September 16, 2021",6:30 PM,Spotswood #1,South Amboy #1,South Amboy Softball
"Saturday, September 18, 2021",12:00 PM,South Amboy #1,Old Bridge #2,Cheesequake Road Field B
"Saturday, September 18, 2021",12:00 PM,Manalapan #1,Old Bridge #1,Cheesequake Road Field A
"Tuesday, September 21, 2021",6:30 PM,Old Bridge #1,Spotswood #1,Spotswood Front Field
"Thursday, September 23, 2021",6:30 PM,Old Bridge #2,South Amboy #1,South Amboy Softball
"Saturday, September 25, 2021",9:30 AM,Spotswood #1,Old Bridge #1,Cheesequake Road Field A
"Saturday, September 25, 2021",9:30 AM,Manalapan #1,Old Bridge #2,Cheesequake Road Field B
"Monday, September 27, 2021",6:30 PM,Manalapan #1,Spotswood #1,Spotswood Front Field
"Thursday, September 30, 2021",6:30 PM,Spotswood #1,South Amboy #1,South Amboy Softball
"Saturday, October 02, 2021",9:30 AM,Spotswood #1,Old Bridge #2,Cheesequake Road Field B
"Saturday, October 02, 2021",12:00 PM,South Amboy #1,Old Bridge #1,Cheesequake Road Field A
"Thursday, October 07, 2021",6:30 PM,Old Bridge #1,South Amboy #1,South Amboy Softball
"Saturday, October 09, 2021",9:30 AM,Old Bridge #1,Old Bridge #2,Cheesequake Road Field A
"Saturday, October 09, 2021",10:00 AM,Spotswood #1,South Amboy #1,South Amboy Softball
"Thursday, October 14, 2021",6:30 PM,Old Bridge #2,South Amboy #1,South Amboy Softball
"Saturday, October 16, 2021",9:30 AM,South Amboy #1,Old Bridge #2,Cheesequake Road Field B
"Saturday, October 16, 2021",10:00 AM,Old Bridge #1,Spotswood #1,Spotswood Front Field
"Thursday, October 21, 2021",6:30 PM,Old Bridge #1,South Amboy #1,South Amboy Softball
"Saturday, October 23, 2021",9:30 AM,Manalapan #1,Old Bridge #1,Cheesequake Road Field A
"Saturday, October 23, 2021",10:00 AM,Old Bridge #2,Spotswood #1,Spotswood Front Field
